category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
GO:1901136	9.02075313128416e-10	0.999999999967103	9	59	carbohydrate derivative catabolic process	BP
GO:0006026	4.09910868778858e-09	0.999999999907942	7	31	aminoglycan catabolic process	BP
GO:0006022	6.26204428021017e-07	0.999999967791208	7	62	aminoglycan metabolic process	BP
GO:0009620	1.44877500507366e-06	0.999999914658965	7	70	response to fungus	BP
GO:0006032	2.21961756491012e-06	0.999999937535929	5	27	chitin catabolic process	BP
GO:0046348	4.55399107304889e-06	0.999999848603861	5	31	amino sugar catabolic process	BP
GO:1901072	4.55399107304889e-06	0.999999848603861	5	31	glucosamine-containing compound catabolic process	BP
GO:0006030	8.48191857898162e-06	0.999999674776305	5	35	chitin metabolic process	BP
GO:0016201	1.44295604825422e-05	0.999999663560572	4	19	synaptic target inhibition	BP
GO:1901071	3.33925666104833e-05	0.999998252219654	5	46	glucosamine-containing compound metabolic process	BP
GO:0009607	4.86479971519111e-05	0.999989579249541	13	439	response to biotic stimulus	BP
GO:0043207	4.86479971519111e-05	0.999989579249541	13	439	response to external biotic stimulus	BP
GO:0051707	4.86479971519111e-05	0.999989579249541	13	439	response to other organism	BP
GO:0006508	5.76491275137906e-05	0.999984582134183	17	724	proteolysis	BP
GO:0044419	7.68062822784829e-05	0.999982759536041	13	459	interspecies interaction between organisms	BP
GO:0035150	9.29877114129853e-05	0.999991470091268	6	91	regulation of tube size	BP
GO:0006040	9.51104521235288e-05	0.999993694007577	5	57	amino sugar metabolic process	BP
GO:0050919	0.000108750883357016	0.999995446008927	4	31	negative chemotaxis	BP
GO:0042737	0.00011228447960563	0.999992270759716	5	59	drug catabolic process	BP
GO:1901575	0.000164596904191876	0.999950094831142	18	867	organic substance catabolic process	BP
GO:1901565	0.000177733512600707	0.999956450969022	13	499	organonitrogen compound catabolic process	BP
GO:0061687	0.00019563272387934	0.999999479114099	2	3	detoxification of inorganic compound	BP
GO:0098711	0.00019563272387934	0.999999479114099	2	3	iron ion import across plasma membrane	BP
GO:1990461	0.00019563272387934	0.999999479114099	2	3	detoxification of iron ion	BP
GO:0006517	0.000270196663449273	0.999993097317264	3	16	protein deglycosylation	BP
GO:0006027	0.000389194162167387	0.999997928714409	2	4	glycosaminoglycan catabolic process	BP
GO:0006880	0.000389194162167387	0.999997928714409	2	4	intracellular sequestering of iron ion	BP
GO:0010039	0.000389194162167387	0.999997928714409	2	4	response to iron ion	BP
GO:0019377	0.000389194162167387	0.999997928714409	2	4	glycolipid catabolic process	BP
GO:0046477	0.000389194162167387	0.999997928714409	2	4	glycosylceramide catabolic process	BP
GO:0046479	0.000389194162167387	0.999997928714409	2	4	glycosphingolipid catabolic process	BP
GO:0097577	0.000389194162167387	0.999997928714409	2	4	sequestering of iron ion	BP
GO:0010466	0.000459369525211291	0.999985570439518	3	19	negative regulation of peptidase activity	BP
GO:0010951	0.000459369525211291	0.999985570439518	3	19	negative regulation of endopeptidase activity	BP
GO:0008045	0.000461734989944223	0.999942322369153	6	122	motor neuron axon guidance	BP
GO:0035151	0.000499779158062512	0.999951706224475	5	81	regulation of tube size, open tracheal system	BP
GO:0009605	0.000608099376726335	0.999777359084882	21	1225	response to external stimulus	BP
GO:0006677	0.000645225097757227	0.999994852241217	2	5	glycosylceramide metabolic process	BP
GO:0046514	0.000645225097757227	0.999994852241217	2	5	ceramide catabolic process	BP
GO:0009056	0.000845534172013631	0.99969578823435	19	1078	catabolic process	BP
GO:0040003	0.000885435349052717	0.999874293439382	6	138	chitin-based cuticle development	BP
GO:1901135	0.00105086201401239	0.99968723147589	13	601	carbohydrate derivative metabolic process	BP
GO:0098754	0.00108801073042214	0.999912679412762	4	56	detoxification	BP
GO:0048803	0.00132309637595953	0.999937823115548	3	27	imaginal disc-derived male genitalia morphogenesis	BP
GO:0033212	0.00134068583790333	0.999982194054274	2	7	iron import into cell	BP
GO:0035126	0.00147321687669475	0.999927907796834	3	28	post-embryonic genitalia morphogenesis	BP
GO:0048805	0.00147321687669475	0.999927907796834	3	28	imaginal disc-derived genitalia morphogenesis	BP
GO:0030149	0.00177814041292898	0.999971677887174	2	8	sphingolipid catabolic process	BP
GO:0046466	0.00177814041292898	0.999971677887174	2	8	membrane lipid catabolic process	BP
GO:0048808	0.00198622809645885	0.999891249116643	3	31	male genitalia morphogenesis	BP
GO:0007483	0.00217892197795095	0.999876479424632	3	32	genital disc morphogenesis	BP
GO:0090598	0.00238284501482716	0.999860308390811	3	33	male anatomical structure morphogenesis	BP
GO:0035112	0.00259821631301492	0.99984265839978	3	34	genitalia morphogenesis	BP
GO:0051238	0.00282764736200207	0.999940020540767	2	10	sequestering of metal ion	BP
GO:0030539	0.00331510084556568	0.999780041869269	3	37	male genitalia development	BP
GO:0034755	0.00343779397026085	0.999918012375162	2	11	iron ion transmembrane transport	BP
GO:0045861	0.00357831047299337	0.999755678141091	3	38	negative regulation of proteolysis	BP
GO:0009311	0.00385395564825725	0.999729431630173	3	39	oligosaccharide metabolic process	BP
GO:0008039	0.00386466905770324	0.999554771778533	4	79	synaptic target recognition	BP
GO:0008037	0.00401429577790576	0.999226007702121	6	186	cell recognition	BP
GO:0009057	0.00406515356190435	0.998644306503655	12	618	macromolecule catabolic process	BP
GO:0007485	0.00414221304141436	0.999701218867347	3	40	imaginal disc-derived male genitalia development	BP
GO:0032102	0.00414221304141436	0.999701218867347	3	40	negative regulation of response to external stimulus	BP
GO:0051346	0.00414221304141436	0.999701218867347	3	40	negative regulation of hydrolase activity	BP
GO:0035152	0.00451429378358838	0.999270310347809	5	133	regulation of tube architecture, open tracheal system	BP
GO:0007599	0.00482419380943844	0.99985955089733	2	13	hemostasis	BP
GO:0050817	0.00482419380943844	0.99985955089733	2	13	coagulation	BP
GO:0098659	0.00482419380943844	0.99985955089733	2	13	inorganic cation import across plasma membrane	BP
GO:0099587	0.00482419380943844	0.99985955089733	2	13	inorganic ion import across plasma membrane	BP
GO:0009636	0.00505078480712888	0.998978328920824	6	195	response to toxic substance	BP
GO:0006879	0.00559860859812986	0.99982229492271	2	14	cellular iron ion homeostasis	BP
GO:0007484	0.00577840773616406	0.999527689903072	3	45	imaginal disc-derived genitalia development	BP
GO:0044248	0.00628338695497687	0.997448008688455	16	1003	cellular catabolic process	BP
GO:0006687	0.00642595929906283	0.999779170957934	2	15	glycosphingolipid metabolic process	BP
GO:0006672	0.00730535396129334	0.999729803336551	2	16	ceramide metabolic process	BP
GO:0046661	0.00733002924136635	0.99934471905231	3	49	male sex differentiation	BP
GO:0055072	0.0092167607743158	0.99961088415343	2	18	iron ion homeostasis	BP
GO:0009611	0.009480605246483	0.998163271922608	5	159	response to wounding	BP
GO:0098542	0.00950676929435079	0.997228919682572	8	365	defense response to other organism	BP
GO:0045824	0.0102470420977399	0.999540630474789	2	19	negative regulation of innate immune response	BP
GO:0006952	0.0104295365587742	0.99690969032582	8	371	defense response	BP
GO:0009617	0.0107475235507283	0.997851859611323	5	164	response to bacterium	BP
GO:0048806	0.011112981168067	0.998837053399518	3	57	genitalia development	BP
GO:0006826	0.0124525114671071	0.999376851107663	2	21	iron ion transport	BP
GO:0052548	0.0127728831373759	0.998590605365212	3	60	regulation of endopeptidase activity	BP
GO:0017144	0.013182314039037	0.996295300033103	7	311	drug metabolic process	BP
GO:0042060	0.0138633562208394	0.997675771916928	4	114	wound healing	BP
GO:0035159	0.0139541509506885	0.998407382910304	3	62	regulation of tube length, open tracheal system	BP
GO:0098739	0.014845643563073	0.999179905560869	2	23	import across plasma membrane	BP
GO:0008038	0.0155728026440805	0.996582781641743	5	180	neuron recognition	BP
GO:0005984	0.0161105409830447	0.999068228056615	2	24	disaccharide metabolic process	BP
GO:0045088	0.0164977495520465	0.997992335627775	3	66	regulation of innate immune response	BP
GO:0052547	0.0171716098267695	0.99787793630871	3	67	regulation of peptidase activity	BP
GO:0008362	0.0187730007349256	0.998817005789764	2	26	chitin-based embryonic cuticle biosynthetic process	BP
GO:0042335	0.0194413731978934	0.994730674255326	6	261	cuticle development	BP
GO:0030203	0.0201689930836429	0.99867690362404	2	27	glycosaminoglycan metabolic process	BP
GO:0048608	0.0219573472891463	0.995767027973488	4	131	reproductive structure development	BP
GO:0061458	0.0219573472891463	0.995767027973488	4	131	reproductive system development	BP
GO:0050878	0.0230866494204807	0.998366386309764	2	29	regulation of body fluid levels	BP
GO:0000270	0.0242462539673662	0.999804367276121	1	3	peptidoglycan metabolic process	BP
GO:0000303	0.0242462539673662	0.999804367276121	1	3	response to superoxide	BP
GO:0005993	0.0242462539673662	0.999804367276121	1	3	trehalose catabolic process	BP
GO:0009253	0.0242462539673662	0.999804367276121	1	3	peptidoglycan catabolic process	BP
GO:0009313	0.0242462539673662	0.999804367276121	1	3	oligosaccharide catabolic process	BP
