"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:1901136","carbohydrate derivative catabolic proces...",59,9,0.48,224,"9.0e-10","1.00000","1.00000","A0A026W0Q1;A0A026W2Z6;A0A026W5E2;A0A026WL55;A0A026WMB6;A0A026WT37;A0A026WUA2;A0A026WYH3;A0A026WYV1","Hexo1;Cht3;;;Cht5;;verm;Fuca;"
"GO:0006026","aminoglycan catabolic process",31,7,0.25,1,"4.1e-09","4.1e-09","1.00000","A0A026W0Q1;A0A026W2Z6;A0A026W5E2;A0A026WMB6;A0A026WT37;A0A026WUA2;A0A026WYV1","Hexo1;Cht3;;;Cht5;verm;Fuca"
"GO:0006022","aminoglycan metabolic process",62,7,0.51,225,"6.3e-07","1.00000","1.00000","A0A026W0Q1;A0A026W2Z6;A0A026W5E2;A0A026WMB6;A0A026WT37;A0A026WUA2;A0A026WYV1","Hexo1;Cht3;;;Cht5;verm;Fuca"
"GO:0009620","response to fungus",70,7,0.57,2,"1.4e-06","1.4e-05","1.4e-06","A0A026VVE4;A0A026VVU9;A0A026W073;A0A026W798;A0A026WB04;A0A026WI68;A0A026WPM3","GNBP3;;SRPN3;TrxT;Tsf1;Fer1HCH;Fer2LCH"
"GO:0006032","chitin catabolic process",27,5,0.22,226,"2.2e-06","1.00000","2.2e-06","A0A026W0Q1;A0A026W5E2;A0A026WT37;A0A026WUA2;A0A026WYV1","Hexo1;Cht3;;Cht5;verm"
"GO:0046348","amino sugar catabolic process",31,5,0.25,227,"4.6e-06","1.00000","1.00000","A0A026W0Q1;A0A026W5E2;A0A026WT37;A0A026WUA2;A0A026WYV1","Hexo1;Cht3;;Cht5;verm"
"GO:1901072","glucosamine-containing compound cataboli...",31,5,0.25,228,"4.6e-06","1.00000","1.00000","A0A026W0Q1;A0A026W5E2;A0A026WT37;A0A026WUA2;A0A026WYV1","Hexo1;Cht3;;Cht5;verm"
"GO:0006030","chitin metabolic process",35,5,0.29,229,"8.5e-06","1.00000","1.00000","A0A026W0Q1;A0A026W5E2;A0A026WT37;A0A026WUA2;A0A026WYV1","Hexo1;Cht3;;Cht5;verm"
"GO:0016201","synaptic target inhibition",19,4,0.15,3,"1.4e-05","1.4e-05","1.4e-05","A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;;"
"GO:1901071","glucosamine-containing compound metaboli...",46,5,0.37,230,"3.3e-05","1.00000","1.00000","A0A026W0Q1;A0A026W5E2;A0A026WT37;A0A026WUA2;A0A026WYV1","Hexo1;Cht3;;Cht5;verm"
"GO:0009607","response to biotic stimulus",439,13,3.58,231,"4.9e-05","1.00000","0.09026","A0A026VVE4;A0A026VVU9;A0A026W073;A0A026W1A5;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WB04;A0A026WI68;A0A026WJG2;A0A026WMB6;A0A026WPM3;A0A026X3N5",";GNBP3;;;SRPN3;TrxT;Fuca;Tsf1;;Fer1HCH;;TFPI;Fer2LCH"
"GO:0043207","response to external biotic stimulus",439,13,3.58,232,"4.9e-05","1.00000","0.09026","A0A026VVE4;A0A026VVU9;A0A026W073;A0A026W1A5;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WB04;A0A026WI68;A0A026WJG2;A0A026WMB6;A0A026WPM3;A0A026X3N5",";GNBP3;;;SRPN3;TrxT;Fuca;Tsf1;;Fer1HCH;;TFPI;Fer2LCH"
"GO:0051707","response to other organism",439,13,3.58,233,"4.9e-05","1.00000","0.09026","A0A026VVE4;A0A026VVU9;A0A026W073;A0A026W1A5;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WB04;A0A026WI68;A0A026WJG2;A0A026WMB6;A0A026WPM3;A0A026X3N5",";GNBP3;;;SRPN3;TrxT;Fuca;Tsf1;;Fer1HCH;;TFPI;Fer2LCH"
"GO:0006508","proteolysis",724,17,5.9,14,"5.8e-05","0.00058","0.00105","A0A026VTG8;A0A026VWE0;A0A026W0P7;A0A026W1C7;A0A026WEB2;A0A026WFP0;A0A026WH69;A0A026WI06;A0A026WI68;A0A026WJG2;A0A026WJK5;A0A026WJN5;A0A026WPF7;A0A026WPM3;A0A026WSC7;A0A026WSE1;A0A026X3N5",";;;;;Nep2;;;;SRPN3;;;;;TFPI;;"
"GO:0044419","interspecies interaction between organis...",459,13,3.74,234,"7.7e-05","1.00000","0.13758","A0A026VVE4;A0A026VVU9;A0A026W073;A0A026W1A5;A0A026W2Z6;A0A026W6F8;A0A026W798;A0A026WB04;A0A026WI68;A0A026WJG2;A0A026WMB6;A0A026WPM3;A0A026X3N5",";GNBP3;;;SRPN3;TrxT;Fuca;Tsf1;;Fer1HCH;;TFPI;Fer2LCH"
"GO:0035150","regulation of tube size",91,6,0.74,4,"9.3e-05","9.3e-05","0.07444","A0A026VZR5;A0A026W3Q8;A0A026WDF3;A0A026WF43;A0A026WG30;A0A026WT37",";Fas2;verm;;Cpap3-a1;"
"GO:0006040","amino sugar metabolic process",57,5,0.46,235,"9.5e-05","1.00000","1.00000","A0A026W0Q1;A0A026W5E2;A0A026WT37;A0A026WUA2;A0A026WYV1","Hexo1;Cht3;;Cht5;verm"
"GO:0050919","negative chemotaxis",31,4,0.25,236,"0.00011","1.00000","1.00000","A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;;"
"GO:0042737","drug catabolic process",59,5,0.48,5,"0.00011","0.00011","0.00011","A0A026W0Q1;A0A026W5E2;A0A026WT37;A0A026WUA2;A0A026WYV1","Hexo1;Cht3;;Cht5;verm"
"GO:1901575","organic substance catabolic process",867,18,7.06,237,"0.00016","1.00000","0.14659","A0A026VTG8;A0A026W0P7;A0A026W0Q1;A0A026W0S2;A0A026W2Z6;A0A026W5E2;A0A026WL55;A0A026WM97;A0A026WMB6;A0A026WSE1;A0A026WT37;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0X3;A0A026X1V9;A0A026X2U9;A0A026X326","Hexo1;;Cht3;;;;Cht5;;;;verm;;SETMAR;;;Fuca;TREH;"
"GO:1901565","organonitrogen compound catabolic proces...",499,13,4.07,191,"0.00018","0.89651","0.43665","A0A026VTG8;A0A026W0P7;A0A026W0Q1;A0A026W2Z6;A0A026W5E2;A0A026WL55;A0A026WM97;A0A026WMB6;A0A026WSE1;A0A026WT37;A0A026WUA2;A0A026WYH3;A0A026WYV1","Hexo1;;Cht3;;;;Cht5;;verm;;;Fuca;"
"GO:0061687","detoxification of inorganic compound",3,2,0.02,238,"0.00020","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0098711","iron ion import across plasma membrane",3,2,0.02,6,"0.00020","0.00020","0.00020","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:1990461","detoxification of iron ion",3,2,0.02,7,"0.00020","0.00020","0.00020","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0006517","protein deglycosylation",16,3,0.13,8,"0.00027","0.00027","0.00027","A0A026VXZ2;A0A026W0Q1;A0A026WU73",";Hexo1;"
"GO:0006027","glycosaminoglycan catabolic process",4,2,0.03,239,"0.00039","1.00000","0.00039","A0A026W2Z6;A0A026WMB6",";Fuca"
"GO:0006880","intracellular sequestering of iron ion",4,2,0.03,10,"0.00039","0.00039","0.00039","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0010039","response to iron ion",4,2,0.03,240,"0.00039","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0019377","glycolipid catabolic process",4,2,0.03,241,"0.00039","1.00000","1.00000","A0A026WL55;A0A026WYH3",";"
"GO:0046477","glycosylceramide catabolic process",4,2,0.03,11,"0.00039","0.00039","0.00039","A0A026WL55;A0A026WYH3",";"
"GO:0046479","glycosphingolipid catabolic process",4,2,0.03,242,"0.00039","1.00000","1.00000","A0A026WL55;A0A026WYH3",";"
"GO:0097577","sequestering of iron ion",4,2,0.03,243,"0.00039","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0010466","negative regulation of peptidase activit...",19,3,0.15,244,"0.00046","1.00000","1.00000","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0010951","negative regulation of endopeptidase act...",19,3,0.15,12,"0.00046","0.00046","0.00046","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
"GO:0008045","motor neuron axon guidance",122,6,0.99,13,"0.00046","0.00046","0.00046","A0A026VZR5;A0A026W3Q8;A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;Fas2;;;"
"GO:0035151","regulation of tube size, open tracheal s...",81,5,0.66,245,"0.00050","1.00000","0.00050","A0A026VZR5;A0A026W3Q8;A0A026WDF3;A0A026WG30;A0A026WT37",";Fas2;verm;;Cpap3-a1"
"GO:0009605","response to external stimulus",1225,21,9.98,246,"0.00061","1.00000","0.88248","A0A026VVE4;A0A026VVU9;A0A026VZR5;A0A026W073;A0A026W1A5;A0A026W2Z6;A0A026W3Q8;A0A026W6F8;A0A026W798;A0A026WB04;A0A026WI68;A0A026WJG2;A0A026WMB6;A0A026WN66;A0A026WPM3;A0A026WQ88;A0A026WWS5;A0A026WWV0;A0A026WXR1;A0A026X3N5;A0A026X3S9",";;;GNBP3;;;;Fas2;;;;SRPN3;TrxT;Tim2;Fuca;Tsf1;;Fer1HCH;;TFPI;Fer2LCH"
"GO:0006677","glycosylceramide metabolic process",5,2,0.04,247,"0.00065","1.00000","1.00000","A0A026WL55;A0A026WYH3",";"
"GO:0046514","ceramide catabolic process",5,2,0.04,248,"0.00065","1.00000","1.00000","A0A026WL55;A0A026WYH3",";"
"GO:0009056","catabolic process",1078,19,8.78,249,"0.00085","1.00000","0.19685","A0A026VTG8;A0A026W0P7;A0A026W0Q1;A0A026W0S2;A0A026W2Z6;A0A026W5E2;A0A026WG66;A0A026WL55;A0A026WM97;A0A026WMB6;A0A026WSE1;A0A026WT37;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0X3;A0A026X1V9;A0A026X2U9;A0A026X326","Hexo1;;Cht3;;;;Cht5;;;;verm;;SETMAR;;;Sod;Fuca;TREH;"
"GO:0040003","chitin-based cuticle development",138,6,1.12,15,"0.00089","0.00089","0.00089","A0A026W1A3;A0A026W5E2;A0A026WDF3;A0A026WG30;A0A026WT17;A0A026WYV1",";Cht5;;;Cpap3-a1;"
