"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:1901136","carbohydrate derivative catabolic proces...",62,11,0.5,191,"1.7e-12","1.00000","1.00000","A0A026VWQ3;A0A026W2Z6;A0A026W5E2;A0A026W6F6;A0A026WL55;A0A026WMB6;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYH3;A0A026WYV1",";;serp;;;;;;;;"
"GO:0006026","aminoglycan catabolic process",33,8,0.27,1,"1.5e-10","1.5e-10","1.00000","A0A026VWQ3;A0A026W2Z6;A0A026W5E2;A0A026WMB6;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";;serp;;;;;"
"GO:0006022","aminoglycan metabolic process",62,8,0.5,192,"3.0e-08","1.00000","1.00000","A0A026VWQ3;A0A026W2Z6;A0A026W5E2;A0A026WMB6;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";;serp;;;;;"
"GO:0006032","chitin catabolic process",29,6,0.23,193,"9.3e-08","1.00000","9.3e-08","A0A026VWQ3;A0A026W5E2;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;"
"GO:0046348","amino sugar catabolic process",33,6,0.27,194,"2.1e-07","1.00000","1.00000","A0A026VWQ3;A0A026W5E2;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;"
"GO:1901072","glucosamine-containing compound cataboli...",33,6,0.27,195,"2.1e-07","1.00000","1.00000","A0A026VWQ3;A0A026W5E2;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;"
"GO:0006030","chitin metabolic process",35,6,0.28,196,"3.1e-07","1.00000","1.00000","A0A026VWQ3;A0A026W5E2;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;"
"GO:0009620","response to fungus",60,7,0.48,2,"4.7e-07","4.7e-07","4.7e-07","A0A026VVE4;A0A026VVU9;A0A026VZ76;A0A026W073;A0A026W798;A0A026WB04;A0A026WI68",";;;;;;"
"GO:1901071","glucosamine-containing compound metaboli...",46,6,0.37,197,"1.6e-06","1.00000","1.00000","A0A026VWQ3;A0A026W5E2;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;"
"GO:0019377","glycolipid catabolic process",5,3,0.04,198,"5.0e-06","1.00000","1.00000","A0A026W6F6;A0A026WL55;A0A026WYH3",";;"
