"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:0004553","hydrolase activity, hydrolyzing O-glycos...",81,14,0.7,1,"3.7e-15","7.6e-10","1.7e-11","A0A026VXZ2;A0A026W0Q1;A0A026W1A5;A0A026W5E2;A0A026W656;A0A026WIQ8;A0A026WKS8;A0A026WL55;A0A026WMB6;A0A026WT37;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X326","Hexo1;Mal-A3;Cht3;;Cht5;;verm;;Fuca;TREH;;;;"
"GO:0016798","hydrolase activity, acting on glycosyl b...",89,14,0.77,72,"1.5e-14","1.00000","1.00000","A0A026VXZ2;A0A026W0Q1;A0A026W1A5;A0A026W5E2;A0A026W656;A0A026WIQ8;A0A026WKS8;A0A026WL55;A0A026WMB6;A0A026WT37;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X326","Hexo1;Mal-A3;Cht3;;Cht5;;verm;;Fuca;TREH;;;;"
"GO:0016787","hydrolase activity",1524,36,13.19,73,"5.9e-10","1.00000","0.74946","A0A026VTG8;A0A026VWE0;A0A026VXZ2;A0A026W0P7;A0A026W0Q1;A0A026W0S2;A0A026W1A5;A0A026W1C7;A0A026W2Z6;A0A026W4J5;A0A026W5E2;A0A026W656;A0A026WEB2;A0A026WFP0;A0A026WGA6;A0A026WH69;A0A026WI06;A0A026WIQ8;A0A026WJK5;A0A026WJN5;A0A026WKS8;A0A026WL55;A0A026WMB6;A0A026WPF7;A0A026WPJ5;A0A026WSC7;A0A026WSE1;A0A026WSH9;A0A026WT37;A0A026WU73;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0M9;A0A026X326;A0A026X3N5",";Hexo1;Mal-A3;;Cht3;;;;ATPsynbeta;;Cht5;;;;Nep2;;;;verm;;;SETMAR;;;;Fuca;TREH;;;;;;;;;"
"GO:0008238","exopeptidase activity",47,7,0.41,3,"1.3e-07","1.1e-06","0.00997","A0A026VTG8;A0A026W0P7;A0A026WEB2;A0A026WH69;A0A026WPF7;A0A026WSC7;A0A026X3N5",";;;;;;"
"GO:0008061","chitin binding",33,6,0.29,2,"3.1e-07","3.1e-07","3.1e-07","A0A026W5E2;A0A026WDF3;A0A026WG30;A0A026WT37;A0A026WUA2;A0A026WYV1","Cht3;;Cht5;;verm;Cpap3-a1"
"GO:0008233","peptidase activity",322,14,2.79,74,"4.7e-07","1.00000","0.70804","A0A026VTG8;A0A026VWE0;A0A026W0P7;A0A026W1C7;A0A026WEB2;A0A026WFP0;A0A026WH69;A0A026WI06;A0A026WJK5;A0A026WJN5;A0A026WPF7;A0A026WSC7;A0A026WSE1;A0A026X3N5",";;;;Nep2;;;;;;;;;"
"GO:0097367","carbohydrate derivative binding",188,10,1.63,75,"4.2e-06","1.00000","0.64948","A0A026W2Z6;A0A026W4U7;A0A026W5E2;A0A026W6F8;A0A026W798;A0A026WDF3;A0A026WG30;A0A026WT37;A0A026WUA2;A0A026WYV1","Cht3;;;GNBP3;Cht5;;;verm;Cpap3-a1;Pvf1"
"GO:0008236","serine-type peptidase activity",76,6,0.66,76,"4.6e-05","1.00000","0.10745","A0A026VTG8;A0A026VWE0;A0A026WFP0;A0A026WI06;A0A026WJK5;A0A026WJN5",";;;;;"
"GO:0004568","chitinase activity",25,4,0.22,77,"5.7e-05","1.00000","5.7e-05","A0A026W5E2;A0A026WT37;A0A026WUA2;A0A026WYV1","Cht3;;Cht5;verm"
"GO:0017171","serine hydrolase activity",80,6,0.69,78,"6.1e-05","1.00000","0.13601","A0A026VTG8;A0A026VWE0;A0A026WFP0;A0A026WI06;A0A026WJK5;A0A026WJN5",";;;;;"
"GO:0004175","endopeptidase activity",168,8,1.45,4,"9.2e-05","9.2e-05","0.05394","A0A026VWE0;A0A026W1C7;A0A026WFP0;A0A026WI06;A0A026WJK5;A0A026WJN5;A0A026WSE1;A0A026X3N5",";;;Nep2;;;;"
"GO:0004177","aminopeptidase activity",31,4,0.27,79,"0.00014","1.00000","0.10264","A0A026W0P7;A0A026WEB2;A0A026WPF7;A0A026WSC7",";;;"
"GO:0004252","serine-type endopeptidase activity",62,5,0.54,80,"0.00018","1.00000","0.00018","A0A026VWE0;A0A026WFP0;A0A026WI06;A0A026WJK5;A0A026WJN5",";;;;"
"GO:0003824","catalytic activity",3527,45,30.52,81,"0.00031","1.00000","0.78210","A0A026VTG8;A0A026VU23;A0A026VWE0;A0A026VXZ2;A0A026W073;A0A026W0P7;A0A026W0Q1;A0A026W0S2;A0A026W1A5;A0A026W1C7;A0A026W2Z6;A0A026W4J5;A0A026W5E2;A0A026W5L3;A0A026W656;A0A026WDB2;A0A026WDK1;A0A026WEB2;A0A026WFP0;A0A026WG66;A0A026WG72;A0A026WGA6;A0A026WH69;A0A026WI06;A0A026WIQ8;A0A026WJK5;A0A026WJN5;A0A026WKS8;A0A026WL55;A0A026WM97;A0A026WMB6;A0A026WPF7;A0A026WPJ5;A0A026WSC7;A0A026WSE1;A0A026WSH9;A0A026WT37;A0A026WU73;A0A026WUA2;A0A026WYH3;A0A026WYV1;A0A026X0M9;A0A026X2U9;A0A026X326;A0A026X3N5",";;Hexo1;Mal-A3;;;Cht3;;;;;ATPsynbeta;;Cht5;;;;Nep2;;;;verm;;;;SETMAR;;;TrxT;;;Sod;Fuca;Ppib;TREH;;;;;;;;;;"
"GO:0008144","drug binding",112,6,0.97,5,"0.00039","0.00039","0.00039","A0A026W5E2;A0A026WDF3;A0A026WG30;A0A026WT37;A0A026WUA2;A0A026WYV1","Cht3;;Cht5;;verm;Cpap3-a1"
"GO:0008239","dipeptidyl-peptidase activity",18,3,0.16,82,"0.00046","1.00000","0.00046","A0A026WEB2;A0A026WPF7;A0A026WSC7",";;"
"GO:0004866","endopeptidase inhibitor activity",19,3,0.16,6,"0.00054","0.00054","0.11152","A0A026WI68;A0A026WJG2;A0A026WPM3",";SRPN3;TFPI"
