"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:0005576","extracellular region",557,39,4.44,1,"4.9e-29","9.6e-27","0.00012","A0A026VU23;A0A026VVU9;A0A026VY86;A0A026W1A3;A0A026W1A5;A0A026W1C7;A0A026W2Z6;A0A026W329;A0A026W4J5;A0A026W4U7;A0A026W5E2;A0A026W6F8;A0A026W707;A0A026W798;A0A026WDF3;A0A026WF43;A0A026WG30;A0A026WG66;A0A026WGA6;A0A026WH69;A0A026WI68;A0A026WJG2;A0A026WKW2;A0A026WLZ5;A0A026WN66;A0A026WPM3;A0A026WSE1;A0A026WSH9;A0A026WT17;A0A026WT37;A0A026WUA2;A0A026WV46;A0A026WWS5;A0A026WWV0;A0A026WXR1;A0A026WYV1;A0A026X0F2;A0A026X1V9;A0A026X3N5",";Cht3;;;;GNBP3;;Cht5;;;;;;;;;;;;;Nep2;;;verm;;Cpap3-a1;SRPN3;;;;Pvf1;Sod;Ppib;;;;Fer1HCH;;TFPI"
"GO:0005615","extracellular space",275,28,2.19,53,"1.5e-24","1.00000","1.1e-18","A0A026VU23;A0A026W1A5;A0A026W1C7;A0A026W329;A0A026W4J5;A0A026W4U7;A0A026W6F8;A0A026W707;A0A026WDF3;A0A026WF43;A0A026WG30;A0A026WG66;A0A026WGA6;A0A026WH69;A0A026WI68;A0A026WJG2;A0A026WKW2;A0A026WLZ5;A0A026WN66;A0A026WPM3;A0A026WSE1;A0A026WSH9;A0A026WV46;A0A026WWS5;A0A026WWV0;A0A026WXR1;A0A026WYV1;A0A026X3N5",";;;Cht5;;;;;;;;;;Nep2;;;;Cpap3-a1;SRPN3;;Pvf1;Sod;Ppib;;;;;TFPI"
"GO:0005616","larval serum protein complex",6,4,0.05,54,"5.5e-08","1.00000","5.5e-08","A0A026WN66;A0A026WWS5;A0A026WWV0;A0A026WXR1",";;;"
"GO:0031012","extracellular matrix",103,6,0.82,55,"0.00016","1.00000","0.00016","A0A026VY86;A0A026W1A3;A0A026WF43;A0A026WT17;A0A026X0F2;A0A026X1V9",";;;;;"
"GO:0008043","intracellular ferritin complex",3,2,0.02,2,"0.00019","0.00019","0.00019","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0070288","ferritin complex",3,2,0.02,56,"0.00019","1.00000","1.00000","A0A026VVE4;A0A026VVU9","Fer1HCH;Fer2LCH"
"GO:0005764","lysosome",92,4,0.73,3,"0.00610","0.00610","0.00610","A0A026W656;A0A026WL55;A0A026WSE1;A0A026WU73",";;;"
"GO:0000323","lytic vacuole",95,4,0.76,57,"0.00683","1.00000","1.00000","A0A026W656;A0A026WL55;A0A026WSE1;A0A026WU73",";;;"
"GO:0016469","proton-transporting two-sector ATPase co...",49,3,0.39,58,"0.00687","1.00000","0.00687","A0A026W9I5;A0A026X0M9;A0A026X3S9",";ATPsynbeta;"
"GO:0009986","cell surface",96,4,0.77,4,"0.00708","0.00708","0.00708","A0A026W4J5;A0A026W798;A0A026WJG2;A0A026X3S9",";GNBP3;;TFPI"
"GO:0005773","vacuole",157,5,1.25,59,"0.00814","1.00000","0.39167","A0A026W656;A0A026WL55;A0A026WSE1;A0A026WU73;A0A026X3S9",";;;;"
"GO:0043230","extracellular organelle",19,2,0.15,60,"0.00981","1.00000","1.00000","A0A026WGA6;A0A026WSH9",";"
"GO:0070062","extracellular exosome",19,2,0.15,61,"0.00981","1.00000","0.00981","A0A026WGA6;A0A026WSH9",";"
"GO:1903561","extracellular vesicle",19,2,0.15,62,"0.00981","1.00000","1.00000","A0A026WGA6;A0A026WSH9",";"
"GO:0098589","membrane region",23,2,0.18,9,"0.01422","0.07598","0.01422","A0A026WJG2;A0A026WMB6","Fuca;TFPI"
"GO:0033176","proton-transporting V-type ATPase comple...",27,2,0.22,5,"0.01933","0.01933","0.01933","A0A026W9I5;A0A026X3S9",";"
"GO:0062023","collagen-containing extracellular matrix",28,2,0.22,63,"0.02071","1.00000","0.02071","A0A026VY86;A0A026WF43",";"
"GO:0005587","collagen type IV trimer",4,1,0.03,6,"0.03151","0.03151","0.03151","A0A026VY86",""
"GO:0098642","network-forming collagen trimer",4,1,0.03,64,"0.03151","1.00000","0.03151","A0A026VY86",""
"GO:0098645","collagen network",4,1,0.03,65,"0.03151","1.00000","0.03151","A0A026VY86",""
"GO:0098651","basement membrane collagen trimer",4,1,0.03,66,"0.03151","1.00000","0.03151","A0A026VY86",""
"GO:0005581","collagen trimer",5,1,0.04,67,"0.03923","1.00000","0.03923","A0A026VY86",""
"GO:0005901","caveola",5,1,0.04,7,"0.03923","0.03923","0.03923","A0A026WJG2","TFPI"
"GO:0044853","plasma membrane raft",5,1,0.04,68,"0.03923","1.00000","0.03923","A0A026WJG2","TFPI"
"GO:0098644","complex of collagen trimers",5,1,0.04,69,"0.03923","1.00000","0.03923","A0A026VY86",""
"GO:0001669","acrosomal vesicle",6,1,0.05,8,"0.04689","0.04689","0.04689","A0A026WMB6","Fuca"
