"GO.ID","Term","Annotated","Significant","Expected","Rank in result2","result1","result2","result3","GenesInTermAndTest","GenesInTermAndTest_eggNogName"
"GO:0004553","hydrolase activity, hydrolyzing O-glycos...",80,16,0.67,1,"1.3e-18","7.3e-16","9.0e-08","A0A026VWQ3;A0A026VXZ2;A0A026W0Q1;A0A026W5E2;A0A026W656;A0A026W6F6;A0A026WIQ8;A0A026WKS8;A0A026WL55;A0A026WMB6;A0A026WT37;A0A026WT83;A0A026WTW5;A0A026WUA2;A0A026WYH3;A0A026WYV1",";;;serp;;;;;;;;;;;;"
"GO:0016798","hydrolase activity, acting on glycosyl b...",88,16,0.74,73,"6.8e-18","1.00000","1.00000","A0A026VWQ3;A0A026VXZ2;A0A026W0Q1;A0A026W5E2;A0A026W656;A0A026W6F6;A0A026WIQ8;A0A026WKS8;A0A026WL55;A0A026WMB6;A0A026WT37;A0A026WT83;A0A026WTW5;A0A026WUA2;A0A026WYH3;A0A026WYV1",";;;serp;;;;;;;;;;;;"
"GO:0008061","chitin binding",37,8,0.31,2,"4.8e-10","4.8e-10","4.8e-10","A0A026VWQ3;A0A026W5E2;A0A026WDF3;A0A026WG30;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;;;"
"GO:0016787","hydrolase activity",1429,33,11.95,74,"2.4e-09","1.00000","0.45571","A0A026VWE0;A0A026VWQ3;A0A026VXZ2;A0A026W0P7;A0A026W0Q1;A0A026W1C7;A0A026W2Z6;A0A026W4J5;A0A026W5E2;A0A026W656;A0A026W6F6;A0A026WEB2;A0A026WFP0;A0A026WGA6;A0A026WH69;A0A026WI06;A0A026WIQ8;A0A026WKS8;A0A026WL55;A0A026WMA6;A0A026WMB6;A0A026WPF7;A0A026WPJ5;A0A026WSC7;A0A026WSE1;A0A026WSH9;A0A026WSS1;A0A026WT37;A0A026WT83;A0A026WTW5;A0A026WUA2;A0A026WYH3;A0A026WYV1",";;;;;;serp;;;;;;;;;;;;;;;;;;;;;;;;;;"
"GO:0097367","carbohydrate derivative binding",181,12,1.51,75,"2.4e-08","1.00000","0.60756","A0A026VWQ3;A0A026W2Z6;A0A026W4U7;A0A026W5E2;A0A026W6F8;A0A026W798;A0A026WDF3;A0A026WG30;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";;serp;;;;;;;;;"
"GO:0004568","chitinase activity",29,6,0.24,76,"1.1e-07","1.00000","1.1e-07","A0A026VWQ3;A0A026W5E2;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;"
"GO:0008238","exopeptidase activity",41,6,0.34,77,"9.6e-07","1.00000","0.12361","A0A026W0P7;A0A026WEB2;A0A026WH69;A0A026WMA6;A0A026WPF7;A0A026WSC7",";;;;;"
"GO:0008144","drug binding",108,8,0.9,3,"2.8e-06","2.8e-06","2.8e-06","A0A026VWQ3;A0A026W5E2;A0A026WDF3;A0A026WG30;A0A026WT37;A0A026WT83;A0A026WUA2;A0A026WYV1",";serp;;;;;;"
"GO:0008233","peptidase activity",299,11,2.5,78,"3.1e-05","1.00000","0.22639","A0A026VWE0;A0A026W0P7;A0A026W1C7;A0A026WEB2;A0A026WFP0;A0A026WH69;A0A026WI06;A0A026WMA6;A0A026WPF7;A0A026WSC7;A0A026WSE1",";;;;;;;;;;"
"GO:0004177","aminopeptidase activity",30,4,0.25,4,"0.00010","0.00010","0.09176","A0A026W0P7;A0A026WEB2;A0A026WPF7;A0A026WSC7",";;;"
