Genes	Categories
A0A026W182	ko00000
A0A026W182	ko04030
A0A3L8E747	ko00000
A0A3L8E747	ko00001
A0A3L8E747	ko01000
A0A3L8E747	ko03029
A0A026WDA0	ko00000
A0A026WDA0	ko00001
A0A026WDA0	ko00002
A0A026WDA0	ko01000
A0A3L8E060	ko00000
A0A3L8E060	ko01000
A0A3L8E060	ko01002
A0A3L8E060	ko04516
A0A3L8DT19	br01610
A0A3L8DT19	ko00000
A0A3L8DT19	ko00001
A0A3L8DT19	ko00002
A0A3L8DT19	ko03011
A0A3L8DNB3	ko00000
A0A3L8DNB3	ko00001
A0A3L8DNB3	ko01000
A0A026WX87	ko00000
A0A026WX87	ko00001
A0A026WX87	ko01000
A0A3L8E202	ko00000
A0A3L8E202	ko00001
A0A3L8E202	ko00002
A0A026W1Z1	br01611
A0A026W1Z1	ko00000
A0A026W1Z1	ko00001
A0A026W1Z1	ko00002
A0A026W1Z1	ko03021
A0A026VUB5	ko00000
A0A026VUB5	ko00001
A0A026VUB5	ko01000
A0A026VUB5	ko01003
A0A3L8DAW9	ko00000
A0A3L8DAW9	ko00001
A0A3L8DAW9	ko03036
A0A026VYW6	ko00000
A0A026VYW6	ko00001
A0A026VYW6	ko01000
A0A026VYW6	ko01002
A0A026VYW6	ko04090
A0A026VYW6	ko04131
A0A026VYW6	ko04147
A0A026WIU4	ko00000
A0A026WIU4	ko01000
A0A026WIU4	ko03036
A0A026WKK2	ko00000
A0A026WKK2	ko00001
A0A026WKK2	ko04147
A0A026WBV3	ko00000
A0A026WBV3	ko00001
A0A026WBV3	ko03000
A0A3L8D402	ko00000
A0A3L8D402	ko00001
A0A3L8D402	ko01000
A0A3L8D402	ko01009
A0A3L8DIF3	ko00000
A0A3L8DIF3	ko00001
A0A3L8DIF3	ko00002
A0A3L8DIF3	ko01000
A0A026W762	br01611
A0A026W762	ko00000
A0A026W762	ko00001
A0A026W762	ko00002
A0A026W762	ko03021
A0A3L8D847	ko00000
A0A3L8D847	ko00001
A0A3L8D847	ko01000
A0A026VYA9	ko00000
A0A026VYA9	ko04121
A0A026X1G2	ko00000
A0A026X1G2	ko00001
A0A026X1G2	ko02044
A0A3L8D4J7	ko00000
A0A3L8D4J7	ko04131
A0A026W0F3	ko00000
A0A026W0F3	ko00001
A0A026W0F3	ko04131
A0A026W0F3	ko04812
